genome_id	genome_name	patric_id	refseq_locus_tag	gene	product	role_name	superclass	class	subclass	subsystem_name
562.2283	Escherichia coli GSK2023	fig|562.2283.peg.8			Universal stress protein B	Universal stress protein B	Stress Response, Defense, Virulence	Stress Response, Defense and Virulence	Stress Response	Universal stress protein family
562.2283	Escherichia coli GSK2023	fig|562.2283.peg.9			Universal stress protein A	Universal stress protein A	Stress Response, Defense, Virulence	Stress Response, Defense and Virulence	Stress Response	Universal stress protein family
562.2283	Escherichia coli GSK2023	fig|562.2283.peg.12			Oligopeptidase A (EC 3.4.24.70)	Oligopeptidase A (EC 3.4.24.70)	Protein Processing	Protein Fate (folding, modification, targeting, degradation)	Protein degradation	Protein degradation
562.2283	Escherichia coli GSK2023	fig|562.2283.peg.13			23S rRNA (adenine(2030)-N(6))-methyltransferase (EC 2.1.1.266)	23S rRNA (adenine(2030)-N(6))-methyltransferase (EC 2.1.1.266)	DNA Processing	DNA Processing	DNA uptake, competence	DNA processing cluster
562.2283	Escherichia coli GSK2023	fig|562.2283.peg.14			Glutathione reductase (EC 1.8.1.7)	Glutathione reductase (EC 1.8.1.7)	Stress Response, Defense, Virulence	Stress Response, Defense and Virulence	Stress Response	Glutathione: Redox cycle
562.2283	Escherichia coli GSK2023	fig|562.2283.peg.20			Hemin transport protein HmuS	Hemin transport protein HmuS	Metabolism	Iron acquisition and metabolism		Heme, hemin uptake and utilization systems in GramPositives
562.2283	Escherichia coli GSK2023	fig|562.2283.peg.20			Hemin transport protein HmuS	Hemin transport protein HmuS	Metabolism	Iron acquisition and metabolism	Siderophores	Siderophore assembly kit
562.2283	Escherichia coli GSK2023	fig|562.2283.peg.21			TonB-dependent hemin, ferrichrome receptor	TonB-dependent hemin, ferrichrome receptor	Metabolism	Iron acquisition and metabolism	Siderophores	Siderophore assembly kit
562.2283	Escherichia coli GSK2023	fig|562.2283.peg.23			Periplasmic hemin-binding protein	Periplasmic hemin-binding protein	Metabolism	Iron acquisition and metabolism	Siderophores	Siderophore assembly kit
562.2283	Escherichia coli GSK2023	fig|562.2283.peg.27			Hemin ABC transporter, permease protein	Hemin ABC transporter, permease protein	Metabolism	Iron acquisition and metabolism	Siderophores	Siderophore assembly kit
562.2283	Escherichia coli GSK2023	fig|562.2283.peg.28			ABC-type hemin transport system, ATPase component	ABC-type hemin transport system, ATPase component	Metabolism	Iron acquisition and metabolism	Siderophores	Siderophore assembly kit
562.2283	Escherichia coli GSK2023	fig|562.2283.peg.33			Transcriptional activator GadE	Transcriptional activator GadE	Membrane Transport	Membrane Transport	Multidrug efflux systems	Tripartite multidrug efflux systems (of RND type) AcrAB-TolC and related transporters
