genome_id	genome_name	accession	annotation	feature_type	seed_id	refseq_locus_tag	alt_locus_tag	uniprotkb_accession	start	end	strand	na_length	gene	product	figfam_id	go	ec	pathway
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_4519			190	255	+	66	thrL	thr operon leader peptide				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_1			337	2799	+	2463	thrA	fused aspartokinase I and homoserine dehydrogenase I				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_2			2801	3733	+	933	thrB	homoserine kinase				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_3			3734	5020	+	1287	thrC	threonine synthase				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_4			5234	5530	+	297	yaaX	hypothetical protein				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_5			5683	6459	-	777	yaaA	peroxide resistance protein, lowers intracellular iron				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_6			6529	7959	-	1431	yaaJ	putative transporter				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_7			8238	9191	+	954	talB	transaldolase B				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_8			9306	9893	+	588	mog	molybdochelatase incorporating molybdenum into molybdopterin				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_9			9928	10494	-	567	yaaH	inner membrane protein, Grp1_Fun34_YaaH family				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_10			10643	11356	-	714	yaaW	conserved protein, UPF0174 family				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_11			11382	11786	-	405	yaaI	conserved protein, UPF0412 family				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_12			12163	14079	+	1917	dnaK	chaperone Hsp70, co-chaperone with DnaJ				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_13			14168	15298	+	1131	dnaJ	chaperone Hsp40, co-chaperone with DnaK				
83333.84	Escherichia coli K-12 ER3413	CP009789	RefSeq	CDS		ER3413_14			15445	16557	+	1113	insL1	IS186 transposase				
