genome_id	genome_name	accession	annotation	feature_type	patric_id	refseq_locus_tag	alt_locus_tag	uniprotkb_accession	start	end	strand	na_length	gene	product	figfam_id	plfam_id	pgfam_id	go	ec	pathway
562.2282	Escherichia coli GSK2022	AXOC01000064	PATRIC	source					1	21193	+	21193
562.2282	Escherichia coli GSK2022	AXOC01000064	PATRIC	CDS	fig|562.2282.peg.3608		VBIEscCol301464_3608		289	441	+	153		Isocitrate dehydrogenase [NADP] (EC 1.1.1.42)	FIG00000600	PLF_561_00059235	PGF_00015701	GO:0004450|isocitrate dehydrogenase (NADP+) activity	1.1.1.42|Isocitrate dehydrogenase (NADP(+))	00020|Citrate cycle (TCA cycle);00480|Glutathione metabolism;00720|Reductive carboxylate cycle (CO2 fixation)
562.2282	Escherichia coli GSK2022	AXOC01000064	PATRIC	CDS	fig|562.2282.peg.3609		VBIEscCol301464_3609		703	1107	-	405		Phage protein YbcV	FIG00638961	PLF_561_00003578	PGF_00065451			
562.2282	Escherichia coli GSK2022	AXOC01000064	PATRIC	CDS	fig|562.2282.peg.3610		VBIEscCol301464_3610		1328	2059	-	732		HTH-type transcriptional repressor YcgE	FIG00731603	PLF_561_00003572	PGF_00010780			
562.2282	Escherichia coli GSK2022	AXOC01000064	PATRIC	CDS	fig|562.2282.peg.3611		VBIEscCol301464_3611		2265	3476	-	1212		Blue light- and temperature-regulated antirepressor BluF	FIG00731691	PLF_561_00003543	PGF_00411947			
562.2282	Escherichia coli GSK2022	AXOC01000064	PATRIC	CDS	fig|562.2282.peg.3612		VBIEscCol301464_3612		4370	4636	+	267		Probable two-component-system connector protein AriR	FIG00638908	PLF_561_00003663	PGF_00037432			
562.2282	Escherichia coli GSK2022	AXOC01000064	PATRIC	CDS	fig|562.2282.peg.3613		VBIEscCol301464_3613		4821	4997	+	177		Uncharacterized protein YmgC	FIG00638802	PLF_561_00003627	PGF_00065634			
562.2282	Escherichia coli GSK2022	AXOC01000064	PATRIC	CDS	fig|562.2282.peg.3614		VBIEscCol301464_3614		5337	6188	+	852		c-di-GMP phosphodiesterase (EC 3.1.4.52) => PdeG	FIG00638204	PLF_561_00003545	PGF_00419927	GO:0071111|cyclic-guanylate-specific phosphodiesterase activity	3.1.4.52|Cyclic-guanylate-specific phosphodiesterase	
562.2282	Escherichia coli GSK2022	AXOC01000064	PATRIC	CDS	fig|562.2282.peg.3615		VBIEscCol301464_3615		6320	6538	+	219		Inner membrane protein YmgF	FIG00638312	PLF_561_00003690	PGF_00014192			
562.2282	Escherichia coli GSK2022	AXOC01000064	PATRIC	CDS	fig|562.2282.peg.3616		VBIEscCol301464_3616		6936	7115	+	180		AidA-I adhesin-like protein	FIG00638738	PLF_561_00003513	PGF_03351896			
562.2282	Escherichia coli GSK2022	AXOC01000064	PATRIC	CDS	fig|562.2282.peg.3617		VBIEscCol301464_3617		7928	8455	+	528		AidA-I adhesin-like protein	FIG00638738	PLF_561_00012468	PGF_03351896			
562.2282	Escherichia coli GSK2022	AXOC01000064	PATRIC	CDS	fig|562.2282.peg.3618		VBIEscCol301464_3618		8513	8842	-	330		Uncharacterized protein YmgD	FIG00637893	PLF_561_00003527	PGF_00065635			
562.2282	Escherichia coli GSK2022	AXOC01000064	PATRIC	CDS	fig|562.2282.peg.3619		VBIEscCol301464_3619		8852	9196	-	345		UPF0757 protein YmgG	FIG00639298	PLF_561_00003558	PGF_00064379			
562.2282	Escherichia coli GSK2022	AXOC01000064	PATRIC	CDS	fig|562.2282.peg.3620		VBIEscCol301464_3620		9198	9371	-	174		hypothetical protein	FIG00639460	PLF_561_00003963	PGF_00254630			
562.2282	Escherichia coli GSK2022	AXOC01000064	PATRIC	CDS	fig|562.2282.peg.3621		VBIEscCol301464_3621		9789	10115	+	327		Pertactin precursor	FIG00639831	PLF_561_00007987	PGF_00031594			
562.2282	Escherichia coli GSK2022	AXOC01000064	PATRIC	CDS	fig|562.2282.peg.3622		VBIEscCol301464_3622		10488	10754	-	267		Cell division topological specificity factor MinE	FIG00000827	PLF_561_00002069	PGF_05220786			
