genome_id	genome_name	patric_id	refseq_locus_tag	gene	product	role_name	superclass	class	subclass	subsystem_name
562.2282	Escherichia coli GSK2022	fig|562.2282.peg.8			Universal stress protein B	Universal stress protein B	Stress Response, Defense, Virulence	Stress Response, Defense and Virulence	Stress Response	Universal stress protein family
562.2282	Escherichia coli GSK2022	fig|562.2282.peg.9			Universal stress protein A	Universal stress protein A	Stress Response, Defense, Virulence	Stress Response, Defense and Virulence	Stress Response	Universal stress protein family
562.2282	Escherichia coli GSK2022	fig|562.2282.peg.12			Oligopeptidase A (EC 3.4.24.70)	Oligopeptidase A (EC 3.4.24.70)	Protein Processing	Protein Fate (folding, modification, targeting, degradation)	Protein degradation	Protein degradation
562.2282	Escherichia coli GSK2022	fig|562.2282.peg.13			23S rRNA (adenine(2030)-N(6))-methyltransferase (EC 2.1.1.266)	23S rRNA (adenine(2030)-N(6))-methyltransferase (EC 2.1.1.266)	DNA Processing	DNA Processing	DNA uptake, competence	DNA processing cluster
562.2282	Escherichia coli GSK2022	fig|562.2282.peg.14			Glutathione reductase (EC 1.8.1.7)	Glutathione reductase (EC 1.8.1.7)	Stress Response, Defense, Virulence	Stress Response, Defense and Virulence	Stress Response	Glutathione: Redox cycle
562.2282	Escherichia coli GSK2022	fig|562.2282.peg.20			Hemin transport protein HmuS	Hemin transport protein HmuS	Metabolism	Iron acquisition and metabolism		Heme, hemin uptake and utilization systems in GramPositives
562.2282	Escherichia coli GSK2022	fig|562.2282.peg.20			Hemin transport protein HmuS	Hemin transport protein HmuS	Metabolism	Iron acquisition and metabolism	Siderophores	Siderophore assembly kit
562.2282	Escherichia coli GSK2022	fig|562.2282.peg.21			TonB-dependent hemin, ferrichrome receptor	TonB-dependent hemin, ferrichrome receptor	Metabolism	Iron acquisition and metabolism	Siderophores	Siderophore assembly kit
562.2282	Escherichia coli GSK2022	fig|562.2282.peg.23			Periplasmic hemin-binding protein	Periplasmic hemin-binding protein	Metabolism	Iron acquisition and metabolism	Siderophores	Siderophore assembly kit
562.2282	Escherichia coli GSK2022	fig|562.2282.peg.27			Hemin ABC transporter, permease protein	Hemin ABC transporter, permease protein	Metabolism	Iron acquisition and metabolism	Siderophores	Siderophore assembly kit
562.2282	Escherichia coli GSK2022	fig|562.2282.peg.28			ABC-type hemin transport system, ATPase component	ABC-type hemin transport system, ATPase component	Metabolism	Iron acquisition and metabolism	Siderophores	Siderophore assembly kit
562.2282	Escherichia coli GSK2022	fig|562.2282.peg.33			Transcriptional activator GadE	Transcriptional activator GadE	Membrane Transport	Membrane Transport	Multidrug efflux systems	Tripartite multidrug efflux systems (of RND type) AcrAB-TolC and related transporters
562.2282	Escherichia coli GSK2022	fig|562.2282.peg.34			Multidrug efflux system MdtEF-TolC, membrane fusion component MdtE	Multidrug efflux system MdtEF-TolC, membrane fusion component MdtE	Membrane Transport	Membrane Transport	Multidrug efflux systems	Tripartite multidrug efflux systems (of RND type) AcrAB-TolC and related transporters
562.2282	Escherichia coli GSK2022	fig|562.2282.peg.35			Multidrug efflux system MdtEF-TolC, inner-membrane proton/drug antiporter MdtF (RND type)	Multidrug efflux system MdtEF-TolC, inner-membrane proton/drug antiporter MdtF (RND type)	Membrane Transport	Membrane Transport	Multidrug efflux systems	Tripartite multidrug efflux systems (of RND type) AcrAB-TolC and related transporters
562.2282	Escherichia coli GSK2022	fig|562.2282.peg.39			Cytochrome c551 peroxidase (EC 1.11.1.5)	Cytochrome c551 peroxidase (EC 1.11.1.5)	Stress Response, Defense, Virulence	Stress Response, Defense and Virulence	Stress Response	Protection from Reactive Oxygen Species
562.2282	Escherichia coli GSK2022	fig|562.2282.peg.47			c-di-GMP phosphodiesterase (EC 3.1.4.52) => PdeH	c-di-GMP phosphodiesterase (EC 3.1.4.52) => PdeH	Regulation And Cell Signaling	Regulation and Cell signaling		Cyclic Di-GMP Turnover Proteins
562.2282	Escherichia coli GSK2022	fig|562.2282.peg.48			2-dehydro-3-deoxygluconokinase (EC 2.7.1.45)	2-dehydro-3-deoxygluconokinase (EC 2.7.1.45)	Metabolism	Carbohydrates	Monosaccharides	D-Galacturonate and D-Glucuronate Utilization
562.2282	Escherichia coli GSK2022	fig|562.2282.peg.48			2-dehydro-3-deoxygluconokinase (EC 2.7.1.45)	2-dehydro-3-deoxygluconokinase (EC 2.7.1.45)	Metabolism	Carbohydrates	Monosaccharides	D-gluconate and ketogluconates metabolism
562.2282	Escherichia coli GSK2022	fig|562.2282.peg.48			2-dehydro-3-deoxygluconokinase (EC 2.7.1.45)	2-dehydro-3-deoxygluconokinase (EC 2.7.1.45)	Energy	Energy and Precursor Metabolites Generation	Central Metabolism	Entner-Doudoroff Pathway
562.2282	Escherichia coli GSK2022	fig|562.2282.peg.66			Serine transporter	Serine transporter	Energy	Energy and Precursor Metabolites Generation	Central Metabolism	Pyruvate Alanine Serine Interconversions
562.2282	Escherichia coli GSK2022	fig|562.2282.peg.67			Dipeptide transport ATP-binding protein DppF (TC 3.A.1.5.2)	Dipeptide transport ATP-binding protein DppF (TC 3.A.1.5.2)	Membrane Transport	Membrane Transport	ABC transporters	Dpp dipeptide ABC transport system
562.2282	Escherichia coli GSK2022	fig|562.2282.peg.68			Dipeptide transport ATP-binding protein DppD (TC 3.A.1.5.2)	Dipeptide transport ATP-binding protein DppD (TC 3.A.1.5.2)	Membrane Transport	Membrane Transport	ABC transporters	Dpp dipeptide ABC transport system
562.2282	Escherichia coli GSK2022	fig|562.2282.peg.69			Dipeptide transport system permease protein DppC (TC 3.A.1.5.2)	Dipeptide transport system permease protein DppC (TC 3.A.1.5.2)	Membrane Transport	Membrane Transport	ABC transporters	Dpp dipeptide ABC transport system
562.2282	Escherichia coli GSK2022	fig|562.2282.peg.70			Dipeptide transport system permease protein DppB (TC 3.A.1.5.2)	Dipeptide transport system permease protein DppB (TC 3.A.1.5.2)	Membrane Transport	Membrane Transport	ABC transporters	Dpp dipeptide ABC transport system
562.2282	Escherichia coli GSK2022	fig|562.2282.peg.72			Dipeptide-binding ABC transporter, periplasmic substrate-binding component (TC 3.A.1.5.2) @ Dipeptide chemoreceptor	Dipeptide-binding ABC transporter, periplasmic substrate-binding component (TC 3.A.1.5.2)	Membrane Transport	Membrane Transport	ABC transporters	Dpp dipeptide ABC transport system
562.2282	Escherichia coli GSK2022	fig|562.2282.peg.77			DNA-3-methyladenine glycosylase (EC 3.2.2.20)	DNA-3-methyladenine glycosylase (EC 3.2.2.20)	DNA Processing	DNA Processing	DNA repair	DNA Repair Base Excision
