genome_id	genome_name	accession	annotation	feature_type	patric_id	refseq_locus_tag	alt_locus_tag	uniprotkb_accession	start	end	strand	na_length	gene	product	figfam_id	plfam_id	pgfam_id	go	ec	pathway
562.2284	Escherichia coli GSK2024	AXOE01000001	PATRIC	CDS	fig|562.2284.peg.1		VBIEscCol313224_0001		1	1125	-	1125		Inner membrane transport permease YhhJ	FIG00638119	PLF_561_00002101	PGF_00004231			
562.2284	Escherichia coli GSK2024	AXOE01000001	PATRIC	source					1	142574	+	142574								
562.2284	Escherichia coli GSK2024	AXOE01000001	PATRIC	CDS	fig|562.2284.peg.2		VBIEscCol313224_0002		1125	3860	-	2736		Ribosome-associated ATPase RbbA	FIG00001785	PLF_561_00000710	PGF_00008593			
562.2284	Escherichia coli GSK2024	AXOE01000001	PATRIC	CDS	fig|562.2284.peg.3		VBIEscCol313224_0003		3857	4924	-	1068		HlyD-like membrane fusion protein YhiI	FIG01056920	PLF_561_00002945	PGF_02746237			
562.2284	Escherichia coli GSK2024	AXOE01000001	PATRIC	CDS	fig|562.2284.peg.4		VBIEscCol313224_0004		4987	5100	-	114		hypothetical protein	FIG00638284	PLF_561_00003980	PGF_00213867			
562.2284	Escherichia coli GSK2024	AXOE01000001	PATRIC	CDS	fig|562.2284.peg.5		VBIEscCol313224_0005		5645	6709	+	1065		Inner membrane protein YhiM	FIG00638241	PLF_561_00002540	PGF_00128906			
562.2284	Escherichia coli GSK2024	AXOE01000001	PATRIC	CDS	fig|562.2284.peg.6		VBIEscCol313224_0006		6796	7989	-	1194		Uncharacterized protein YhiN	FIG01045177	PLF_561_00003893	PGF_00000939			
562.2284	Escherichia coli GSK2024	AXOE01000001	PATRIC	CDS	fig|562.2284.peg.7		VBIEscCol313224_0007		8221	9720	+	1500		Low-affinity inorganic phosphate transporter	FIG00002819	PLF_561_00000025	PGF_00017613			
562.2284	Escherichia coli GSK2024	AXOE01000001	PATRIC	CDS	fig|562.2284.peg.8		VBIEscCol313224_0008		9791	10072	-	282		Universal stress protein B	FIG00002192	PLF_561_00002450	PGF_00065937			
562.2284	Escherichia coli GSK2024	AXOE01000001	PATRIC	CDS	fig|562.2284.peg.9		VBIEscCol313224_0009		10517	10951	+	435		Universal stress protein A	FIG00002191	PLF_561_00002537	PGF_00065934			
