genome_id	genome_name	patric_id	refseq_locus_tag	alt_locus_tag	gene	product	ec_number	ec_description	pathway_id	pathway_name
562.2282	Escherichia coli GSK2022	fig|562.2282.peg.14		VBIEscCol301464_0014		Glutathione reductase (EC 1.8.1.7)	1.8.1.7	Glutathione-disulfide reductase	00480	Glutathione metabolism
562.2282	Escherichia coli GSK2022	fig|562.2282.peg.26		VBIEscCol301464_0026		Flavin reductase (EC 1.5.1.30)	1.5.1.30	Flavin reductase (NADPH)	00740	Riboflavin metabolism
562.2282	Escherichia coli GSK2022	fig|562.2282.peg.38		VBIEscCol301464_0038		Glutamate decarboxylase (EC 4.1.1.15)	4.1.1.15	Glutamate decarboxylase	00250	Alanine, aspartate and glutamate metabolism
562.2282	Escherichia coli GSK2022	fig|562.2282.peg.38		VBIEscCol301464_0038		Glutamate decarboxylase (EC 4.1.1.15)	4.1.1.15	Glutamate decarboxylase	00410	beta-Alanine metabolism
562.2282	Escherichia coli GSK2022	fig|562.2282.peg.38		VBIEscCol301464_0038		Glutamate decarboxylase (EC 4.1.1.15)	4.1.1.15	Glutamate decarboxylase	00430	Taurine and hypotaurine metabolism
562.2282	Escherichia coli GSK2022	fig|562.2282.peg.38		VBIEscCol301464_0038		Glutamate decarboxylase (EC 4.1.1.15)	4.1.1.15	Glutamate decarboxylase	00650	Butanoate metabolism
562.2282	Escherichia coli GSK2022	fig|562.2282.peg.40		VBIEscCol301464_0040		Trehalase (EC 3.2.1.28) @ Cytoplasmic trehalase (EC 3.2.1.28)	3.2.1.28	Alpha,alpha-trehalase	00500	Starch and sucrose metabolism
562.2282	Escherichia coli GSK2022	fig|562.2282.peg.48		VBIEscCol301464_0048		2-dehydro-3-deoxygluconokinase (EC 2.7.1.45)	2.7.1.45	2-dehydro-3-deoxygluconokinase	00030	Pentose phosphate pathway
562.2282	Escherichia coli GSK2022	fig|562.2282.peg.48		VBIEscCol301464_0048		2-dehydro-3-deoxygluconokinase (EC 2.7.1.45)	2.7.1.45	2-dehydro-3-deoxygluconokinase	00040	Pentose and glucuronate interconversions
562.2282	Escherichia coli GSK2022	fig|562.2282.peg.54		VBIEscCol301464_0054		beta-1,4-glucanase (cellulase) (EC 3.2.1.4)	3.2.1.4	Cellulase	00500	Starch and sucrose metabolism
562.2282	Escherichia coli GSK2022	fig|562.2282.peg.56		VBIEscCol301464_0056		Cellulose synthase catalytic subunit [UDP-forming] (EC 2.4.1.12)	2.4.1.12	Cellulose synthase (UDP-forming)	00500	Starch and sucrose metabolism
562.2282	Escherichia coli GSK2022	fig|562.2282.peg.79		VBIEscCol301464_0079		Biotin sulfoxide reductase (EC 1.-.-.-) / Free methionine-(S)-sulfoxide reductase	1.-.-.-	Oxidoreductases	00231	Puromycin biosynthesis
562.2282	Escherichia coli GSK2022	fig|562.2282.peg.79		VBIEscCol301464_0079		Biotin sulfoxide reductase (EC 1.-.-.-) / Free methionine-(S)-sulfoxide reductase	1.-.-.-	Oxidoreductases	00592	alpha-Linolenic acid metabolism
562.2282	Escherichia coli GSK2022	fig|562.2282.peg.79		VBIEscCol301464_0079		Biotin sulfoxide reductase (EC 1.-.-.-) / Free methionine-(S)-sulfoxide reductase	1.-.-.-	Oxidoreductases	00633	Trinitrotoluene degradation
562.2282	Escherichia coli GSK2022	fig|562.2282.peg.79		VBIEscCol301464_0079		Biotin sulfoxide reductase (EC 1.-.-.-) / Free methionine-(S)-sulfoxide reductase	1.-.-.-	Oxidoreductases	00780	Biotin metabolism
562.2282	Escherichia coli GSK2022	fig|562.2282.peg.79		VBIEscCol301464_0079		Biotin sulfoxide reductase (EC 1.-.-.-) / Free methionine-(S)-sulfoxide reductase	1.-.-.-	Oxidoreductases	00860	Porphyrin and chlorophyll metabolism
562.2282	Escherichia coli GSK2022	fig|562.2282.peg.79		VBIEscCol301464_0079		Biotin sulfoxide reductase (EC 1.-.-.-) / Free methionine-(S)-sulfoxide reductase	1.-.-.-	Oxidoreductases	00950	Isoquinoline alkaloid biosynthesis
562.2282	Escherichia coli GSK2022	fig|562.2282.peg.79		VBIEscCol301464_0079		Biotin sulfoxide reductase (EC 1.-.-.-) / Free methionine-(S)-sulfoxide reductase	1.-.-.-	Oxidoreductases	00981	Insect hormone biosynthesis
562.2282	Escherichia coli GSK2022	fig|562.2282.peg.79		VBIEscCol301464_0079		Biotin sulfoxide reductase (EC 1.-.-.-) / Free methionine-(S)-sulfoxide reductase	1.-.-.-	Oxidoreductases	01057	Biosynthesis of type II polyketide products
562.2282	Escherichia coli GSK2022	fig|562.2282.peg.81		VBIEscCol301464_0081		2-ketoaldonate reductase, broad specificity (EC 1.1.1.215)	1.1.1.215	Gluconate 2-dehydrogenase	00030	Pentose phosphate pathway
562.2282	Escherichia coli GSK2022	fig|562.2282.peg.87		VBIEscCol301464_0087		Glycyl-tRNA synthetase beta chain (EC 6.1.1.14)	6.1.1.14	Glycine--tRNA ligase	00970	Aminoacyl-tRNA biosynthesis
562.2282	Escherichia coli GSK2022	fig|562.2282.peg.88		VBIEscCol301464_0088		Glycyl-tRNA synthetase alpha chain (EC 6.1.1.14)	6.1.1.14	Glycine--tRNA ligase	00970	Aminoacyl-tRNA biosynthesis
562.2282	Escherichia coli GSK2022	fig|562.2282.peg.93		VBIEscCol301464_0093		Xylulose kinase (EC 2.7.1.17)	2.7.1.17	Xylulokinase	00040	Pentose and glucuronate interconversions
562.2282	Escherichia coli GSK2022	fig|562.2282.peg.94		VBIEscCol301464_0094		Xylose isomerase (EC 5.3.1.5)	5.3.1.5	Xylose isomerase	00040	Pentose and glucuronate interconversions
562.2282	Escherichia coli GSK2022	fig|562.2282.peg.94		VBIEscCol301464_0094		Xylose isomerase (EC 5.3.1.5)	5.3.1.5	Xylose isomerase	00051	Fructose and mannose metabolism
562.2282	Escherichia coli GSK2022	fig|562.2282.peg.101		VBIEscCol301464_0101		Periplasmic alpha-amylase (EC 3.2.1.1)	3.2.1.1	Alpha-amylase	00500	Starch and sucrose metabolism
562.2282	Escherichia coli GSK2022	fig|562.2282.peg.102		VBIEscCol301464_0102		Periplasmic alpha-amylase (EC 3.2.1.1)	3.2.1.1	Alpha-amylase	00500	Starch and sucrose metabolism
562.2282	Escherichia coli GSK2022	fig|562.2282.peg.103		VBIEscCol301464_0103		Valine--pyruvate aminotransferase (EC 2.6.1.66)	2.6.1.66	Valine--pyruvate transaminase	00290	Valine, leucine and isoleucine biosynthesis
562.2282	Escherichia coli GSK2022	fig|562.2282.peg.106		VBIEscCol301464_0106		3-dehydro-L-gulonate 2-dehydrogenase (EC 1.1.1.130)	1.1.1.130	3-dehydro-L-gulonate 2-dehydrogenase	00040	Pentose and glucuronate interconversions
562.2282	Escherichia coli GSK2022	fig|562.2282.peg.106		VBIEscCol301464_0106		3-dehydro-L-gulonate 2-dehydrogenase (EC 1.1.1.130)	1.1.1.130	3-dehydro-L-gulonate 2-dehydrogenase	00053	Ascorbate and aldarate metabolism
