genome_id	genome_name	patric_id	refseq_locus_tag	alt_locus_tag	gene	product	property	source	evidence	source_id	organism	function	classification	pmid	query_coverage	subject_coverage	identity	e_value
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.1		VBIEscCol313224_0001		Inner membrane transport permease YhhJ	Transporter	TCDB	BLAT	P0AGH1	Escherichia coli (strain K12)	the atp-binding cassette (abc) superfamily.	3.A.1.105.16		100	100	99	1e-211
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.2		VBIEscCol313224_0002		Ribosome-associated ATPase RbbA	Transporter	TCDB	BLAT	C8TJS4	Escherichia coli O26:H11 (strain 11368 / EHEC)	the atp-binding cassette (abc) superfamily.	3.A.1.105.16		100	100	99	0.0
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.3		VBIEscCol313224_0003		HlyD-like membrane fusion protein YhiI	Transporter	TCDB	BLAT	P37626	Escherichia coli (strain K12)	the atp-binding cassette (abc) superfamily.	3.A.1.105.16		100	100	99	1e-194
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.7		VBIEscCol313224_0007		Low-affinity inorganic phosphate transporter	Transporter	TCDB	BLAT	P0AFJ7	Escherichia coli	the inorganic phosphate transporter (pit) family.	2.A.20.1.1	15919996;16738553;8041620;9278503	100	100	100	1e-286
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.8		VBIEscCol313224_0008		Universal stress protein B	Transporter	TCDB	BLAT	P0A8S5	Escherichia coli	the universal stress protein-b (uspb) family.	9.B.4.1.1	15919996;16738553;8041620;9278503;9829921	100	83	100	1e-49
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.10		VBIEscCol313224_0010		Di-tripeptide/H+ symporter DtpB	Transporter	TCDB	BLAT	P36837	Escherichia coli (strain K12)	the proton-dependent oligopeptide transporter (pot/ptr) family.	2.A.17.1.3	15919996;16738553;8041620;9278503	100	100	99	1e-284
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.14		VBIEscCol313224_0014		Glutathione reductase (EC 1.8.1.7)	Drug Target	DrugBank	BLAT	P06715	Escherichia coli (strain K12)	Nitrofural;Flavin adenine dinucleotide	Drug target		100	100	99	1e-265
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.14		VBIEscCol313224_0014		Glutathione reductase (EC 1.8.1.7)	Human Homolog	Human	BLASTP	NP_000628.2	Homo sapiens				99	87	55	7e-163
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.15		VBIEscCol313224_0015		hypothetical protein	Transporter	TCDB	BLAT	Q1R5B5	Escherichia coli (strain UTI89 / UPEC)	"""the pore-forming toxic peptide, dinq (dinq) family."""	1.C.120.1.1		100	90	100	1e-12
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.16		VBIEscCol313224_0016		Arsenate reductase (EC 1.20.4.1) glutaredoxin-coupled, glutaredoxin-like family	Drug Target	DrugBank	BLAT	P08692	Escherichia coli	Thiarsahydroxy-Cysteine;Thiarsa Dihydroxy Cysteine;S-Arsonocysteine;Trihydroxyarsenite(Iii)	Drug target		100	100	92	7e-69
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.20		VBIEscCol313224_0020		Hemin transport protein HmuS	Virulence Factor	VFDB	BLAT	VFG000916	Escherichia coli CFT073		Iron uptake;Heme uptake		100	100	99	1e-198
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.21		VBIEscCol313224_0021		TonB-dependent hemin, ferrichrome receptor	Transporter	TCDB	BLAT	P72412	Shigella dysenteriae	the outer membrane receptor (omr) family.	1.B.14.2.14		100	100	99	0.0
562.2284	Escherichia coli GSK2024	fig|562.2284.peg.21		VBIEscCol313224_0021		TonB-dependent hemin, ferrichrome receptor	Virulence Factor	PATRIC_VF	BLAT	SDY_3554	Shigella dysenteriae Sd197		Heme uptake	9393841	100	100	99	0.0
