genome_id	genome_name	accession	annotation	feature_type	patric_id	refseq_locus_tag	alt_locus_tag	uniprotkb_accession	start	end	strand	na_length	gene	product	figfam_id	plfam_id	pgfam_id	go	ec	pathway
37762.5	Escherichia coli B	CP014268	RefSeq	source					1	4478948	+	4478948								
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00005			607	747	+	141	rpmH	50S ribosomal protein L34						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00010			764	1123	+	360	rnpA	ribonuclease P protein component						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00015			1087	1344	+	258		membrane protein insertion efficiency factor YidD						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00020			1347	2993	+	1647		membrane protein insertase YidC						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00025			3099	4463	+	1365	trmE	tRNA uridine(34) 5-carboxymethylaminomethyl synthesis GTPase MnmE						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00030			4706	4780	+	75		tryptophanase leader peptide						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00035			5001	6416	+	1416	tnaA	tryptophanase						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00040			6507	7754	+	1248		tryptophan permease						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00045			7886	9061	+	1176		multidrug transporter						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00050			9036	9995	+	960		transcriptional regulator						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00055			10152	10901	+	750		hypothetical protein						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00060			10923	11489	+	567		hypothetical protein						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00065			11543	12880	-	1338		adenine permease PurP						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00070			13047	13712	+	666		6-phosphogluconate phosphatase						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00075			13779	14252	+	474		hypothetical protein						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00080			14301	14888	+	588		hypothetical protein						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00085			14950	15672	-	723		6-phosphogluconolactonase						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00090			15687	16856	-	1170		hypothetical protein						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00095			16883	18499	-	1617		porin						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00100			18585	19979	-	1395		6-phospho-beta-glucosidase						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00105			19998	21875	-	1878		PTS beta-glucoside transporter subunit EIIBCA						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00110			22008	22844	-	837		transcriptional antiterminator BglG						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00115			23130	23855	-	726		transcriptional regulator PhoU						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00120			23870	24643	-	774		phosphate ABC transporter ATP-binding protein						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00125			24826	25716	-	891	pstA	phosphate transporter permease subunit PtsA						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00130			25716	26675	-	960	pstC	phosphate transporter permease subunit PstC						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00135			26761	27801	-	1041		phosphate ABC transporter substrate-binding protein						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00140			28115	29944	-	1830		glutamine--fructose-6-phosphate aminotransferase						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00145			30106	31476	-	1371	glmU	bifunctional N-acetylglucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyltransferase						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00150			31829	32248	-	420	atpC	ATP synthase F0F1 subunit epsilon						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00155			32269	33651	-	1383		ATP synthase subunit beta						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00160			33678	34541	-	864		F0F1 ATP synthase subunit gamma						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00165			34592	36133	-	1542		ATP synthase subunit alpha						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00170			36146	36679	-	534		ATP F0F1 synthase subunit delta						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00175			36694	37164	-	471		ATP F0F1 synthase subunit B						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00180			37226	37465	-	240		ATP F0F1 synthase subunit C						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00185			37512	38327	-	816		ATP synthase F0F1 subunit A						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00190			38336	38716	-	381		ATP F0F1 synthase subunit I						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00195			39333	39956	-	624	gidB	16S rRNA (guanine(527)-N(7))-methyltransferase RsmG						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00200			40020	41909	-	1890	gidA	tRNA uridine(34) 5-carboxymethylaminomethyl synthesis enzyme MnmG						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00205			42288	42731	-	444		FMN-binding protein MioC						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00210			42821	43279	-	459		transcriptional regulator						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00215			43431	44423	+	993		asparagine synthetase A						
37762.5	Escherichia coli B	CP014268	RefSeq	CDS		C2566_00220			44428	45879	-	1452		hypothetical protein						
